X;Y;Z;depth;Bed_Alt
582593.4554;130056.8039;2821.850504;43.86876;2777.982
582593.4554;130056.8039;2821.850504;43.86876;2777.982
583842.9839;129695.8459;2708.936997;33.679827;2675.257
583842.9839;129695.8459;2708.936997;33.679827;2675.257
583553.2091;129512.9806;2751.322239;43.240327;2708.082
583553.2091;129512.9806;2751.322239;43.240327;2708.082
582581.9353;130768.2916;2767.299986;31.281125;2736.019
582642.7958;130037.2873;2824.431705;49.507271;2774.924
582642.7958;130037.2873;2824.431705;49.507271;2774.924
582511.4482;130018.4828;2825.559983;37.2651;2788.295
582511.4482;130018.4828;2825.559983;37.2651;2788.295
582578.4001;130057.783;2821.537167;53.992914;2767.544
584767.7343;130323.1353;2565.39324;15.351096;2550.042
584008.1829;129667.0782;2693.267776;35.098356;2658.169
584008.1829;129667.0782;2693.267776;35.098356;2658.169
582608.6397;130057.0107;2822.361568;46.62652;2775.735
582608.6397;130057.0107;2822.361568;46.62652;2775.735
582582.5365;130057.8904;2821.626053;54.776985;2766.849
583059.4424;129964.0907;2804.603591;67.598929;2737.005
583059.4424;129964.0907;2804.603591;67.598929;2737.005
582628.6232;130729.5181;2778.761887;40.98361;2737.778
584958.5972;130491.3753;2519.917201;11.154551;2508.763
583840.4713;129697.1551;2709.347683;38.071405;2671.276
583063.5128;129947.5237;2804.966083;67.96142;2737.005
583063.5128;129947.5237;2804.966083;67.96142;2737.005
583408.7373;129359.431;2798.091363;42.421773;2755.67
583408.7373;129359.431;2798.091363;42.421773;2755.67
582403.3217;130520.0894;2809.60786;14.812762;2794.795
583545.6326;129532.8059;2752.982661;38.330411;2714.652
583545.6326;129532.8059;2752.982661;38.330411;2714.652
583839.3507;129697.7759;2709.557224;40.928311;2668.629
582799.542;130886.4598;2775.971863;23.544668;2752.427
582623.1717;130052.0913;2823.092396;49.283088;2773.809
582623.1717;130052.0913;2823.092396;49.283088;2773.809
583068.3094;129925.5733;2805.500348;69.77654;2735.724
583068.3094;129925.5733;2805.500348;69.77654;2735.724
583644.415;129288.2498;2745.108237;12.356638;2732.752
583644.415;129288.2498;2745.108237;12.356638;2732.752
583126.1112;130350.6833;2784.724064;69.770167;2714.954
583126.1112;130350.6833;2784.724064;69.770167;2714.954
583078.3635;129893.7276;2805.904371;66.978428;2738.926
583078.3635;129893.7276;2805.904371;66.978428;2738.926
583639.6791;129305.2677;2745.133181;13.105219;2732.028
583639.6791;129305.2677;2745.133181;13.105219;2732.028
584766.854;130331.4037;2566.510274;18.648784;2547.862
583995.4083;129668.3082;2694.358408;38.261305;2656.097
583995.4083;129668.3082;2694.358408;38.261305;2656.097
583542.7959;129538.593;2753.678682;39.062865;2714.616
582604.3452;130056.7923;2822.185435;63.700757;2758.485
582652.1403;130026.6381;2826.054934;51.782717;2774.272
582652.1403;130026.6381;2826.054934;51.782717;2774.272
583413.2986;129346.0261;2799.00266;42.664802;2756.338
583413.2986;129346.0261;2799.00266;42.664802;2756.338
583539.9607;129544.9146;2754.361414;34.890522;2719.471
582617.2127;130720.6598;2780.372376;41.105685;2739.267
584952.9635;130491.6943;2521.523469;11.356604;2510.167
583084.9003;129865.6086;2806.652281;63.24335;2743.409
