X	Y	Bed_Alt
582886.2921	130976.5012	2785.947
582764.2921	130974.5012	2754.496
582766.2921	130974.5012	2755.307
582886.2921	130974.5012	2786.486
582888.2921	130974.5012	2786.954
582762.2921	130972.5012	2754.56
582764.2921	130972.5012	2755.743
582888.2921	130972.5012	2787.608
582890.2921	130972.5012	2788.024
582892.2921	130972.5012	2788.448
582760.2921	130970.5012	2754.823
582762.2921	130970.5012	2755.536
582892.2921	130970.5012	2788.88
582894.2921	130970.5012	2789.33
582760.2921	130968.5012	2755.6
582894.2921	130968.5012	2789.74
582896.2921	130968.5012	2790.238
582898.2921	130968.5012	2790.807
582758.2921	130966.5012	2755.695
582760.2921	130966.5012	2756.268
582898.2921	130966.5012	2791.218
582900.2921	130966.5012	2791.694
582756.2921	130964.5012	2755.762
582758.2921	130964.5012	2756.48
582900.2921	130964.5012	2792.139
582902.2921	130964.5012	2792.603
582754.2921	130962.5012	2755.497
582756.2921	130962.5012	2756.411
582902.2921	130962.5012	2792.969
