,X,Y,alt
1932619,1529,376,-1.6983950394119347
664363,3423,931,-2.318183422622951
1489193,355,596,16.961528144741806
1010770,3253,794,-1.9678210533893434
815411,1777,870,0.8080831338347707
704044,1457,914,-13.89314799325075
2049479,1839,309,14.333573811564747
1553929,2066,565,7.17089150015363
1056712,2426,775,8.149573466855145
616741,2003,951,21.73113004717925
644873,2647,939,-8.994235321597444
130060,570,1236,99.040536998471
1487190,949,597,-19.796585273139044
572181,1841,971,18.439305695022995
1380327,2786,641,46.68797579589136
1621306,1443,533,-3.3878356569944117
202545,2759,1179,15.335366653794154
2051062,1753,308,15.51660960365507
1362733,1926,648,34.149730400454246
1821260,1230,435,-9.950976324243129
997386,2296,799,-10.570130555155174
584226,2950,966,-15.792291743090118
832157,3101,864,12.153367979788527
935420,142,823,-7.43545663472878
1949458,2119,367,12.313914658844624
1120654,3120,749,29.025269583804402
2179834,1386,212,10.828861592850444
1635055,2401,527,2.5106145778763675
1294907,1614,676,10.552261984876168
1550533,421,566,11.411180030777814
595516,3334,961,27.49443367439153
794027,3402,879,-20.235189141586943
829226,2743,865,-25.138590594014204
954392,2194,816,6.8818973113816355
1386092,1097,638,-23.56723207023697
510011,3058,1001,-30.807628358033526
858136,3361,854,-18.04566353064365
1365659,2467,647,1.6712355870017745
410638,1350,1051,-10.260776620341858
1372551,2192,644,-15.88597167393209
1293682,2838,677,42.46558944504113
420000,129,1046,-19.89775768431764
911478,2574,833,-8.461847939651761
1293508,2664,677,-6.00919445522004
900279,1631,837,-2.494010856807108
684481,1651,922,-13.766186383338209
479844,3059,1016,-27.233109987797434
909812,3467,834,-69.67285823308976
918258,1692,830,2.0528778031066395
832581,118,863,-8.461596903997815
286510,2570,1122,-24.03776170429137
951070,1417,817,-22.53474353251204
1705646,1492,493,-3.1789794474248083
942511,3033,821,-0.8236234277242147
140617,955,1226,65.62318407388602
259460,174,1140,-3.6502089242467264
836834,2637,862,-6.233829419679751
1132333,2748,744,-11.688120007825091
67043,2535,1336,-1.0842934847878496
632475,1779,944,7.558616343236736
1069293,2785,770,-8.218471219607636
1063,2841,1533,16.661501160906482
1992386,886,342,-2.4116519119997974
775624,2655,886,-10.886120594516797
1039798,2677,782,-6.883694203694176
935177,3334,824,-20.854648847921908
86218,3019,1305,18.21562649534917
1524530,1349,579,-33.584734797832425
1280421,1803,682,16.083826320584194
1449571,1214,613,-39.24362994560488
931755,2457,825,8.717096886583477
1059506,2773,774,-10.876952723830527
1130840,1255,744,-22.89049670686063
1210449,1552,711,-10.296770575213031
23760,2949,1428,-6.718269483915719
213135,3006,1172,12.962339048867761
1104683,1665,755,4.115213701493303
1367755,2182,646,-19.471416104637683
707149,2073,913,32.25672590126169
1054020,2183,776,21.44304138813095
1024927,2570,788,-1.289133781250257
1576688,1543,554,2.78839500938102
614229,1749,952,5.973985346163772
485869,3389,1013,14.078441131699947
461062,1838,1025,10.739477950537093
1031347,1599,785,-3.1701487070999974
2134328,1248,256,14.03541851629916
162628,2979,1211,25.841642326626697
838301,1533,861,-27.1669678944495
1303914,35,672,12.618355489711576
353579,2455,1082,-12.218992844597778
289154,1893,1120,-17.760355371707192
1550787,986,566,-33.519242914058395
1370580,2616,645,9.987929756722679
294848,1545,1116,-41.28134475549905
2044593,1964,312,6.085381953375418
324978,1582,1097,-25.222012392424404
503194,2383,1004,-0.8366461154191711
1723067,2489,485,44.14167554870846
613179,2956,953,-23.051341852161386
1532108,386,575,18.86684703082574
2172964,1329,224,13.841229605288845
382692,1704,1066,-3.167166552526851
303988,1523,1110,-32.95396307861529
1745609,715,473,13.121691167792505
1748012,1106,472,-21.53537002738676
380949,1835,1067,5.319247041710696
350619,1359,1083,-9.703491893189039
520841,1471,995,-5.0363382180785266
1443196,2502,616,-2.4046903268040296
1725967,1313,483,-20.596190900276724
1454250,324,611,-4.365825494879118
1311948,1546,669,-1.0420578249359096
2162378,1979,236,-3.3132337677420765
1664400,2071,513,-2.494596066648228
2099166,2344,279,-15.149362882998503
2127733,2295,261,-19.298726762377555
1381299,1322,640,-32.39498546132609
1226662,988,704,-4.1078369602582825
837619,3422,862,-35.93445980780007
215124,1498,1170,-35.303480115482216
221919,2687,1166,4.985029972656321
102435,2689,1278,24.502984169503634
742297,2181,899,22.93505272216362
193009,2832,1186,14.21540353084174
1011278,1283,793,-16.145607393121736
124911,2510,1243,-2.211355092635131
