,X,Y,alt
492960,2245,1009,-8.663126446551814
1992323,823,342,19.131832416467205
1753035,2111,470,3.931195346882305
733183,3127,903,3.984838829511773
1674877,2024,508,10.565148554100233
1730468,1746,481,21.970198499102025
1944533,788,369,20.757087966154813
799416,1151,876,-1.365391816209467
2075241,1156,293,-1.6718757813105185
1862294,1923,414,5.01674779029463
319484,3110,1101,-26.67586690833832
729683,2135,904,30.588957455059244
1523277,2138,580,-2.349173635583611
1346017,1848,655,12.394890423025572
1816644,2444,438,31.299209063739
1855206,2452,418,18.369353907084133
2174868,2396,222,-47.79764959214708
738276,3195,901,27.25375670995072
176001,1769,1200,-74.81607271180383
1420006,2239,625,2.799470500111056
1868469,2406,411,9.785639882051782
515557,2412,998,1.1435901471827492
1392577,2532,636,-3.8365883191709145
2039231,1629,315,-1.9595276107361315
530262,2548,991,10.18045631511859
606453,2973,956,-21.85870300578881
606062,2582,956,4.0744761426149125
159566,2676,1213,10.611960663828086
1304966,1886,672,26.182639285193545
1034079,1871,784,18.51579514801506
978883,1323,806,-23.5865783975014
829989,3506,865,-65.11103081303327
817184,145,869,7.162608775537592
165749,797,1208,56.19183137233904
2130962,894,258,5.811009630919671
1249063,1863,695,8.578920574024323
1461478,2983,609,19.407247647201984
1585044,1429,550,-8.690147125020758
1480934,1215,600,-38.48812676305806
707476,2400,913,22.30166583786604
496586,1852,1007,16.064114626810806
1300743,2554,674,-3.899847816314832
1341160,1756,657,23.60559851132257
171184,1046,1204,42.650957808757994
25155,2908,1424,5.874063530273816
198281,2774,1182,18.182341688425822
1316117,273,667,28.988960735722685
1653797,2040,518,7.682477877823658
1486272,2184,598,-14.526993599650723
1611852,467,537,14.813707524199344
1622104,2241,533,-2.960508062570625
1046049,1566,779,-5.436722484962047
1188334,1051,720,-13.297697053270895
475054,2216,1018,-3.7949863981907583
1739324,2498,477,42.47007684041728
215622,2490,1170,-32.81461509979772
1261351,2180,690,7.834586503351602
1590728,714,547,24.158094994299518
2163076,1174,235,0.5250323247378219
2175536,1376,220,8.660756341845627
1130301,3124,745,24.406625789074496
586942,1259,964,-7.588566227649153
1382137,2160,640,-10.784644856336854
1757503,562,467,34.606502473265664
2072621,1814,295,15.012227297300797
892064,1137,840,-5.396444356134452
1579573,2319,553,-12.034148798476508
1728315,1625,482,18.664929383939125
1416827,1569,626,7.9295975742165865
2000545,2111,338,13.265854382619636
1964937,1535,358,-3.277371364273222
812842,1777,871,0.8154305184398254
367945,1907,1074,7.288928389677949
722797,2756,907,-35.3170783377941
523051,1602,994,-12.629158748811278
145868,569,1222,74.64280560707311
156544,1396,1215,-6.705565954625854
1952055,1130,365,-19.298671762444883
587162,1479,964,-8.102244771167989
766559,1157,889,-6.082370286639616
1653171,1414,518,-8.18891324045535
1754389,1457,469,-8.95114845725584
1642888,1745,523,29.50553761103356
342383,2421,1088,-10.326979078064142
178203,1810,1198,-65.29073936903205
2184662,2362,202,-46.19888493256349
1404093,1417,631,-26.900085205659707
186728,2870,1191,10.737619155201628
1602202,1553,542,8.235884081421773
