,cell_x,cell_y,X,Y,alt
478,756.0,67.0,583644.415,129288.2498,-17.529093207998358
480,497.0,598.0,583126.1112,130350.6833,-45.02699326054653
482,473.0,370.0,583078.3635,129893.7276,-54.401761964033085
484,754.0,76.0,583639.6791,129305.2677,-18.194367630977922
487,932.0,257.0,583995.4083,129668.3082,-37.37202952339794
489,705.0,192.0,583542.7959,129538.59300000001,-39.73529935570468
490,236.0,451.0,582604.3452,130056.7923,-79.18048618204784
491,260.0,436.0,582652.1403,130026.6381,-60.01001984146296
493,641.0,96.0,583413.2986,129346.0261,-21.617786490781327
495,704.0,195.0,583539.9607,129544.9146,-34.892348211058106
496,243.0,783.0,582617.2127,130720.6598,-45.76453193653015
497,1410.0,669.0,584952.9635,130491.6943,-46.13774089119215
498,476.0,356.0,583084.9003,129865.6086,-50.790932760627584
500,848.0,274.0,583828.1835,129702.9529,-31.77926452428028
502,645.0,86.0,583421.8777,129326.7098,-21.671277645398277
504,139.0,678.0,582409.1881,130509.5801,-32.523573437780215
505,263.0,433.0,582657.0473,130019.7254,-60.06016226627207
507,252.0,445.0,582635.1149,130044.2708,-64.26886240888007
509,330.0,859.0,582791.7711,130872.1953,-0.9352956748034558
510,1317.0,593.0,584766.5609,130339.7957,-36.18945126600829
511,925.0,257.0,583981.8748,129668.2506,-37.53522428791257
513,847.0,275.0,583825.5976,129703.8726,-35.294864124420656
514,141.0,674.0,582413.7642,130501.56,-34.061447721531295
515,236.0,779.0,582604.0135,130712.2157,-46.10462577421413
516,232.0,803.0,582596.4817,130759.0176,-48.907968835788324
517,702.0,200.0,583535.8072,129553.8513,-32.78748485394317
519,192.0,374.0,582516.4948,129901.0257,-23.774449227567402
520,143.0,668.0,582418.6,130490.6896,-34.8593665172325
521,647.0,79.0,583426.3326,129312.2212,-20.002265159588205
523,265.0,428.0,582661.0604,130010.7921,-61.58468531137942
527,529.0,617.0,583189.6704,130387.7724,-21.192689203224745
529,453.0,405.0,583038.8933,129963.2342,-56.28646528748368
531,256.0,441.0,582644.2422,130035.6057,-65.83534284897769
533,1281.0,661.0,584694.2564,130475.8178,-46.124323305947655
535,701.0,201.0,583534.8577,129555.9463,-34.47525275791486
536,919.0,257.0,583969.9889,129668.614,-37.96991545283254
538,1407.0,669.0,584945.9891,130491.39,-47.484155131928674
539,249.0,447.0,582630.1295,130047.9352,-85.50695559099495
540,231.0,776.0,582594.5827,130706.3022,-48.35739639011035
542,147.0,662.0,582426.9133,130477.78,-35.01871127751156
543,649.0,74.0,583429.8233,129301.2822,-18.8481706284515
545,679.0,446.0,583490.8208,130045.2321,-92.29505746655286
547,312.0,823.0,582755.5911,130799.51199999999,-15.680480741512838
548,487.0,592.0,583105.7358,130338.0321,-52.736015942901304
550,227.0,774.0,582586.8979999999,130701.6733,-46.5208419464775
551,224.0,772.0,582580.0678,130697.7298,-45.97330953983328
553,842.0,277.0,583815.4871,129707.3883,-32.16921615738556
555,739.0,106.0,583609.2656,129366.0475,-32.84648731101879
559,699.0,209.0,583530.1025,129571.2274,-29.118214877957143
560,742.0,98.0,583616.4053,129350.0468,-29.24340195460536
562,523.0,612.0,583177.0787,130378.8668,-23.567653819904535
564,736.0,111.0,583604.8234,129376.8738,-35.441938247959115
566,316.0,835.0,582764.0754,130823.1057,-5.4308307588780735
567,1277.0,667.0,584686.2283,130487.1938,-50.11041047061417
569,153.0,652.0,582438.5376,130458.9855,-31.55148005373576
570,261.0,435.0,582654.4082,130023.7312,-64.87432110894724
572,1404.0,668.0,584940.5556,130489.9083,-48.1943290674385
573,909.0,258.0,583949.9505,129669.5094,-37.2458443910441
575,203.0,366.0,582537.2414,129886.2545,-37.55961704678157
577,216.0,766.0,582564.5648,130685.633,-44.62778530898595
578,906.0,104.0,583944.4524,129362.6681,-34.420081187899086
580,653.0,63.0,583438.6216,129279.7678,-15.264984118415668
583,839.0,278.0,583809.9022,129709.5604,-29.185216478701022
585,656.0,57.0,583443.9257,129268.789,-11.571660393462025
587,516.0,220.0,583164.3804,129594.4514,-32.91180090108264
